"Country or Area","Year","Area","Sex","Value","Value Footnotes"
"Afghanistan","2012","Urban","Male","3127700","1"
"Afghanistan","2012","Urban","Female","2946500","1"
"Afghanistan","2012","Rural","Male","9916700","1"
"Afghanistan","2012","Rural","Female","9509200","1"
"Afghanistan","2011","Urban","Male","3027400","1"
"Afghanistan","2011","Urban","Female","2851800","1"
"Afghanistan","2011","Rural","Male","9754600","1"
"Afghanistan","2011","Rural","Female","9353900","1"
"Afghanistan","2010","Urban","Male","2929900","1"
"Afghanistan","2010","Urban","Female","2760400","1"
"Afghanistan","2010","Rural","Male","9594800","1"
"Afghanistan","2010","Rural","Female","9200500","1"
"Afghanistan","2009","Urban","Male","2835900","1"
"Afghanistan","2009","Urban","Female","2671400","1"
"Afghanistan","2009","Rural","Male","9437000","1"
"Afghanistan","2009","Rural","Female","9049200","1"
"Afghanistan","2008","Urban","Male","2744400","1"
"Afghanistan","2008","Urban","Female","2585800","1"
"Afghanistan","2008","Rural","Male","9281300","1"
"Afghanistan","2008","Rural","Female","8899900","1"
"Afghanistan","2007","Urban","Male","2656200","1"
"Afghanistan","2007","Urban","Female","2503000","1"
"Afghanistan","2007","Rural","Male","9127400","1"
"Afghanistan","2007","Rural","Female","8752300","1"
"Afghanistan","2006","Urban","Male","2503100","1"
"Afghanistan","2006","Urban","Female","2359000","1"
"Afghanistan","2006","Rural","Male","9042700","1"
"Afghanistan","2006","Rural","Female","8671100","1"
"Afghanistan","2005","Urban","Male","2450100","1"
"Afghanistan","2005","Urban","Female","2309100","1"
"Afghanistan","2005","Rural","Male","8851200","1"
"Afghanistan","2005","Rural","Female","8487500","1"
"Afghanistan","2004","Urban","Male","2403500","1"
"Afghanistan","2004","Urban","Female","2265200","1"
"Afghanistan","2004","Rural","Male","8682900","1"
"Afghanistan","2004","Rural","Female","8326100","1"
"Afghanistan","2003","Urban","Male","2419700","1"
"Afghanistan","2003","Urban","Female","2209800","1"
"Afghanistan","2003","Rural","Male","8237300","1"
"Afghanistan","2003","Rural","Female","7824600","1"
"Afghanistan","2002","Urban","Male","2332600","1"
"Afghanistan","2002","Urban","Female","2130400","1"
"Afghanistan","2002","Rural","Male","8120900","1"
"Afghanistan","2002","Rural","Female","7713900","1"
"Afghanistan","2001","Urban","Male","2251900",""
"Afghanistan","2001","Urban","Female","2056800",""
"Afghanistan","2001","Rural","Male","8001300",""
"Afghanistan","2001","Rural","Female","7600900",""
"Afghanistan","2000","Urban","Male","2171285",""
"Afghanistan","2000","Urban","Female","1983266",""
"Afghanistan","2000","Rural","Male","7886664",""
"Afghanistan","2000","Rural","Female","7491469",""
"Afghanistan","1999","Urban","Male","1746700",""
"Afghanistan","1999","Urban","Female","1705500",""
"Afghanistan","1999","Rural","Male","7654200",""
"Afghanistan","1999","Rural","Female","7491200",""
"Afghanistan","1998","Urban","Male","1994900",""
"Afghanistan","1998","Urban","Female","1878600",""
"Afghanistan","1998","Rural","Male","7542400",""
"Afghanistan","1998","Rural","Female","7381000",""
"Afghanistan","1997","Urban","Male","1926600",""
"Afghanistan","1997","Urban","Female","1813800",""
"Afghanistan","1997","Rural","Male","7430000",""
"Afghanistan","1997","Rural","Female","7269000",""
"Afghanistan","1996","Urban","Male","1887600",""
"Afghanistan","1996","Urban","Female","1724600",""
"Afghanistan","1996","Rural","Male","7424400",""
"Afghanistan","1996","Rural","Female","7052300",""
"Afghanistan","1995","Urban","Male","1823000",""
"Afghanistan","1995","Urban","Female","1665600",""
"Afghanistan","1995","Rural","Male","7311300",""
"Afghanistan","1995","Rural","Female","6945000",""
"Afghanistan","1994","Urban","Male","1760600",""
"Afghanistan","1994","Urban","Female","1608800",""
"Afghanistan","1994","Rural","Male","7199400",""
"Afghanistan","1994","Rural","Female","6838600",""
"Afghanistan","1993","Urban","Male","1700500",""
"Afghanistan","1993","Urban","Female","1554000",""
"Afghanistan","1993","Rural","Male","7088600",""
"Afghanistan","1993","Rural","Female","6733300",""
"Afghanistan","1992","Urban","Male","1642600",""
"Afghanistan","1992","Urban","Female","1501200",""
"Afghanistan","1992","Rural","Male","6978800",""
"Afghanistan","1992","Rural","Female","6629100",""
"Afghanistan","1991","Urban","Male","1563700",""
"Afghanistan","1991","Urban","Female","1472900",""
"Afghanistan","1991","Rural","Male","6870300",""
"Afghanistan","1991","Rural","Female","6526100",""
"Afghanistan","1990","Urban","Male","1521000",""
"Afghanistan","1990","Urban","Female","1432200",""
"Afghanistan","1990","Rural","Male","6752800",""
"Afghanistan","1990","Rural","Female","6415000",""
"Afghanistan","1989","Urban","Male","1468400",""
"Afghanistan","1989","Urban","Female","1382200",""
"Afghanistan","1989","Rural","Male","6648300",""
"Afghanistan","1989","Rural","Female","6315100",""
"Afghanistan","1988","Urban","Male","1417760","2"
"Afghanistan","1988","Urban","Female","1334264","2"
"Afghanistan","1988","Rural","Male","6544634","2"
"Afghanistan","1988","Rural","Female","6216706","2"
"Afghanistan","1987","Urban","Male","1380300",""
"Afghanistan","1987","Urban","Female","1261800",""
"Afghanistan","1987","Rural","Male","6449700",""
"Afghanistan","1987","Rural","Female","6126400",""
"Afghanistan","1986","Urban","Male","1319500","2"
"Afghanistan","1986","Urban","Female","1242700","2"
"Afghanistan","1986","Rural","Male","6361300","2"
"Afghanistan","1986","Rural","Female","6005300","2"
"Afghanistan","1985","Urban","Male","1283251",""
"Afghanistan","1985","Urban","Female","1173285",""
"Afghanistan","1985","Rural","Male","6240605",""
"Afghanistan","1985","Rural","Female","5927878",""
"Afghanistan","1984","Urban","Male","1243494",""
"Afghanistan","1984","Urban","Female","1137008",""
"Afghanistan","1984","Rural","Male","6142019",""
"Afghanistan","1984","Rural","Female","5834238",""
"Afghanistan","1983","Urban","Male","1203737",""
